typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","166","CCK","Cocos Isds","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6465242","6465242","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","170","COL","Colombia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"36842232","36842232","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","174","COM","Comoros","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"85520","85520","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","178","COG","Congo","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"4386984","4386984","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","180","COD","Dem. Rep. of the Congo","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"19317317","19317317","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","184","COK","Cook Isds","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5876850","5876850","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","188","CRI","Costa Rica","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3020589","3020589","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","192","CUB","Cuba","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2653683","2653683","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","196","CYP","Cyprus","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2662915","2662915","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","191","HRV","Croatia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1135122","1135122","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","203","CZE","Czechia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"108004807","108004807","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","204","BEN","Benin","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1535065","1535065","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","208","DNK","Denmark","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"98085779","98085779","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","212","DMA","Dominica","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"132539","132539","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","214","DOM","Dominican Rep.","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6744893","6744893","0","true","false",
